Product_Name,Unit_Price,Qty_in_Stock,Description
Canon varioPRINT 6180 TITAN,0,0,"[Series: VarioPrint 6000 TITAN] Print speed (BW/CL): 182 ppm Maximum monthly print volume (A4): 300,000 – 2,500,000 (images A4) Print Resolution (dpi): LED, 600 x 1200 dpi, 85/106/125/141/180 Registration tolerance: <+/- 0.3 mm Supported media weights: 50 to 300 gsm"
Canon varioPRINT 6220 TITAN,0,0,"[Series: VarioPrint 6000 TITAN] Print speed (BW/CL): 221 ppm Maximum monthly print volume (A4): 500,000 – 5,000,000 (images A4) Print Resolution (dpi): LED, 600 x 1200 dpi, 85/106/125/141/180 lpi Registration tolerance: <+/- 0.3 mm Supported media weights: 50 to 300 gsm"
Canon varioPRINT 6270 TITAN,0,0,"[Series: VarioPrint 6000 TITAN] Print speed (BW/CL): 272 ppm Maximum monthly print volume (A4): 750,000 – 8,000,000 (images A4) Print Resolution (dpi): LED, 600 x 1200 dpi, 85/106/125/141/180 lpi Registration tolerance: <+/- 0.3 mm Supported media weights: 50 to 300 gsm"
Canon varioPRINT 6330 TITAN,0,0,"[Series: VarioPrint 6000 TITAN] Print speed (BW/CL): 328 ppm Maximum monthly print volume (A4): 1,000,000 – 10,000,000 (images A4) Print Resolution (dpi): LED, 600 x 1200 dpi, 85/106/125/141/180 lpi Registration tolerance: <+/- 0.3 mm Supported media weights: 50 to 300 gsm"
Canon High Capacity Stacker (VarioPrint 6000 TITAN),0,0,"[Series: VarioPrint 6000 TITAN] Description: Three high capacity stackers can be included Stacks paper size: 2 x 3,000 sheets (80 gsm) per stacker. All paper input sizes and weights are supported Maximum paper capacity: 18,000 sheets (3 stackers) Features: Tab printing, DFD finishing for third-party finishing"
Canon PAPER INPUT MODULE FLEX (VarioPrint 6000 TITAN),0,0,"[Series: VarioPrint 6000 TITAN] Description: Flexible paper input module that can also handle 350x500 paper sizes. Can be used as Standard Paper module (as first module after the engine). With double sheet detection, air separation with vacuum feed and pre-separation technologies. Paper Trays: 2 x 600 sheets, 2 x 1,650 sheets (80 gsm) paper module Paper size: Upper 2 trays: 203 x 203 mm (LEF) - 488 x 320 mm; Statement (178 x 254 mm) 2 bulk trays: 203x208 mm (LEF) - 500 x 350 mm (SEF) Max paper size: 350 x 500 mm in flex-xl trays only (bulk trays) Min paper size: Normal trays: same as Standard Paper module; flex-xl trays 203 x 208 mm"
Canon imagePRESS V1000,0,0,"[Series: imagePRESS V1000] Print speed (BW/CL): 100 ppm Recommended monthly volume: 75,000 - 600,000 pages Maximum monthly peak volume: Up to 600,000 pages Print Resolution (dpi): 2,400 x 2,400 Registration tolerance: Front to Back: 0.7mm or less Supported media weights: 52 to 400 gsm"
Canon BOOKLET FINISHER-AF1 (imagePRESS V1000),0,0,"[Series: imagePRESS V1000] Tray Capacity / Paper Weight / Staple Position / Staple Capacity: same as Staple Finisher-AF1 Booklet stitch paper size: A3, A4R, SRA3, 13”x19”, Free size (210 x 279.4 mm to 330.2 x 487.7 mm) Booklet stitch paper weight: Body sheet 52-220 gsm, Cover sheet 64-300 gsm Booklet stitch staple capacity: 25 sheets (52-80 gsm, include cover) Non-Staple Folded Bunch Capacity: up to 5 sheets (60 to 105 gsm)"
Canon POD Deck Lite-C1 (imagePRESS V1000),0,0,"[Series: imagePRESS V1000] Standard size: A3, A4, A4R, A5R, SRA3, 13 ""x 19"" (330 x 483 mm) Free size: 139.7 x 148 mm to 330.2 x 487.7 mm Envelopes: No.10 (COM10), Monarch, DL, ISO-C5 Paper Weight: 52 to 400 gsm Paper Capacity: 3,500 sheets (80 gsm) / 4,000 sheets (64gsm)"
Canon imagePRESS V1350,0,0,"[Series: imagePRESS V1350] Print speed (BW/CL): 135 ppm Recommended monthly volume: up to 1.2 million pages Maximum monthly peak volume: Up to 2.4 million pages Print Resolution (dpi): 2,400 x 2,400 Registration tolerance: Front to Back: 0.5mm or less Supported media weights: 60 to 500 gsm"
